TimeSinceStart,TrialNo,TrialID,ParticipantID,Landmark,DetailedView,GrabbedVis1,GrabbedVis2,PinnedVis1,PinnedVis2,PinnedVis3,CameraPosition.x,CameraPosition.y,CameraPosition.z,CameraEulerAngles.x,CameraEulerAngles.y,CameraEulerAngles.z,LeftControllerPosition.x,LeftControllerPosition.y,LeftControllerPosition.z,LeftControllerEulerAngles.x,LeftControllerEulerAngles.y,LeftControllerEulerAngles.z,RightControllerPosition.x,RightControllerPosition.y,RightControllerPosition.z,RightControllerEulerAngles.x,RightControllerEulerAngles.y,RightControllerEulerAngles.z,WaistPosition.x,WaistPosition.y,WaistPosition.z,WaistEulerAngles.x,WaistEulerAngles.y,WaistEulerAngles.z,LeftShoePosition.x,LeftShoePosition.y,LeftShoePosition.z,LeftShoeEulerAngles.x,LeftShoeEulerAngles.y,LeftShoeEulerAngles.z,RightShoePosition.x,RightShoePosition.y,RightShoePosition.z,RightShoeEulerAngles.x,RightShoeEulerAngles.y,RightShoeEulerAngles.z,LeftGripPressed,LeftTriggerPressed,LeftFootSliding,LeftFootPressed,RightGripPressed,RightTriggerPressed,RightFootSliding,RightFootPressed
1.7,1,Training,1,Shelves,Shelves,,,,,,0.08529568,1.67965,0.4610318,0.25,6.499999,2.001051E-08,0.0762,0,0.3812,0,0,0,0.0762,0,0.3812,0,0,0,0,0,0,0,0,0,0,0,0,295.02,351.238,99.42301,0.185,0.051,0.27,295.0201,351.2376,99.42271,False,False,False,False,False,False,False,False
1.72,1,Training,1,Shelves,Shelves,,,,,,0.08680034,1.678769,0.4617175,0.8750002,7.5,3.335442E-08,0.0762,0,0.3812,0,0,0,0.0762,0,0.3812,0,0,0,0,0,0,0,0,0,0,0,0,295.02,351.238,99.42301,0.185,0.051,0.27,295.0201,351.2376,99.42271,False,False,False,False,False,False,False,False
1.76,1,Training,1,Shelves,Shelves,,,,,,0.08742085,1.678057,0.4623243,1.375,7.874998,2.001608E-08,0.0762,0,0.3812,0,0,0,0.0762,0,0.3812,0,0,0,0,0,0,0,0,0,0,0,0,295.02,351.238,99.42301,0.185,0.051,0.27,295.0201,351.2376,99.42271,False,False,False,False,False,False,False,False
1.78,1,Training,1,Shelves,Shelves,,,,,,0.08742085,1.678057,0.4623243,1.375,7.874997,6.672029E-09,0.0762,0,0.3812,0,0,0,0.0762,0,0.3812,0,0,0,0,0,0,0,0,0,0,0,0,295.02,351.238,99.42301,0.185,0.051,0.27,295.0201,351.2376,99.42271,False,False,False,False,False,False,False,False
1.8,1,Training,1,Shelves,Shelves,,,,,,0.08742084,1.678057,0.4623243,1.375,7.874996,-6.672029E-09,0.0762,0,0.3812,0,0,0,0.0762,0,0.3812,0,0,0,0,0,0,0,0,0,0,0,0,295.02,351.238,99.42301,0.185,0.051,0.27,295.0201,351.2376,99.42271,False,False,False,False,False,False,False,False
1.84,1,Training,1,Shelves,Shelves,,,,,,0.0875978,1.678057,0.4622996,1.375001,7.999992,-2.668811E-08,0.0762,0,0.3812,0,0,0,0.0762,0,0.3812,0,0,0,0,0,0,0,0,0,0,0,0,295.02,351.238,99.42301,0.185,0.051,0.27,295.0201,351.2376,99.42271,False,False,False,False,False,False,False,False
1.86,1,Training,1,Shelves,Shelves,,,,,,0.0875978,1.678057,0.4622996,1.375001,7.99999,-5.337622E-08,0.0762,0,0.3812,0,0,0,0.0762,0,0.3812,0,0,0,0,0,0,0,0,0,0,0,0,295.02,351.238,99.42301,0.185,0.051,0.27,295.0201,351.2376,99.42271,False,False,False,False,False,False,False,False
1.9,1,Training,1,Shelves,Shelves,,,,,,0.08759779,1.678057,0.4622996,1.375001,7.999987,-6.004824E-08,0.0762,0,0.3812,0,0,0,0.0762,0,0.3812,0,0,0,0,0,0,0,0,0,0,0,0,295.02,351.238,99.42301,0.185,0.051,0.27,295.0201,351.2376,99.42271,False,False,False,False,False,False,False,False
1.92,1,Training,1,Shelves,Shelves,,,,,,0.08759779,1.678057,0.4622996,1.375001,7.999985,-6.672026E-08,0.0762,0,0.3812,0,0,0,0.0762,0,0.3812,0,0,0,0,0,0,0,0,0,0,0,0,295.02,351.238,99.42301,0.185,0.051,0.27,295.0201,351.2376,99.42271,False,False,False,False,False,False,False,False
1.94,1,Training,1,Shelves,Shelves,,,,,,0.08759779,1.678057,0.4622996,1.375001,7.999982,-8.673635E-08,0.0762,0,0.3812,0,0,0,0.0762,0,0.3812,0,0,0,0,0,0,0,0,0,0,0,0,295.02,351.238,99.42301,0.185,0.051,0.27,295.0201,351.2376,99.42271,False,False,False,False,False,False,False,False
1.98,1,Training,1,Shelves,Shelves,,,,,,0.08759779,1.678057,0.4622996,1.375002,7.999979,-1.000804E-07,0.0762,0,0.3812,0,0,0,0.0762,0,0.3812,0,0,0,0,0,0,0,0,0,0,0,0,295.02,351.238,99.42301,0.185,0.051,0.27,295.0201,351.2376,99.42271,False,False,False,False,False,False,False,False
2,1,Training,1,Shelves,Shelves,,,,,,0.08759778,1.678057,0.4622996,1.375002,7.999977,-1.134245E-07,0.0762,0,0.3812,0,0,0,0.0762,0,0.3812,0,0,0,0,0,0,0,0,0,0,0,0,295.02,351.238,99.42301,0.185,0.051,0.27,295.0201,351.2376,99.42271,False,False,False,False,False,False,False,False
2.04,1,Training,1,Shelves,Shelves,,,,,,0.08759778,1.678057,0.4622996,1.375002,7.999974,-1.267685E-07,0.0762,0,0.3812,0,0,0,0.0762,0,0.3812,0,0,0,0,0,0,0,0,0,0,0,0,295.02,351.238,99.42301,0.185,0.051,0.27,295.0201,351.2376,99.42271,False,False,False,False,False,False,False,False
2.06,1,Training,1,Shelves,Shelves,,,,,,0.08759777,1.678057,0.4622996,1.375002,7.999972,-1.401126E-07,0.0762,0,0.3812,0,0,0,0.0762,0,0.3812,0,0,0,0,0,0,0,0,0,0,0,0,295.02,351.238,99.42301,0.185,0.051,0.27,295.0201,351.2376,99.42271,False,False,False,False,False,False,False,False
2.1,1,Training,1,Shelves,Shelves,,,,,,0.08759777,1.678057,0.4622996,1.375003,7.999969,-1.601286E-07,0.0762,0,0.3812,0,0,0,0.0762,0,0.3812,0,0,0,0,0,0,0,0,0,0,0,0,295.02,351.238,99.42301,0.185,0.051,0.27,295.0201,351.2376,99.42271,False,False,False,False,False,False,False,False
2.12,1,Training,1,Shelves,Shelves,,,,,,0.08764506,1.677699,0.4626361,1.625003,7.999969,-1.201102E-07,0.0762,0,0.3812,0,0,0,0.0762,0,0.3812,0,0,0,0,0,0,0,0,0,0,0,0,295.02,351.238,99.42301,0.185,0.051,0.27,295.0201,351.2376,99.42271,False,False,False,False,False,False,False,False
2.16,1,Training,1,Shelves,Shelves,,,,,,0.08575507,1.675336,0.4650642,3.250003,6.499968,-1.202553E-07,0.0762,0,0.3812,0,0,0,0.0762,0,0.3812,0,0,0,0,0,0,0,0,0,0,0,0,295.02,351.238,99.42301,0.185,0.051,0.27,295.0201,351.2376,99.42271,False,False,False,False,False,False,False,False
2.2,1,Training,1,Shelves,Shelves,,,,,,0.08193009,1.671582,0.4686249,5.750003,3.749969,-1.072614E-07,0.0762,0,0.3812,0,0,0,0.0762,0,0.3812,0,0,0,0,0,0,0,0,0,0,0,0,295.02,351.238,99.42301,0.185,0.051,0.27,295.0201,351.2376,99.42271,False,False,False,False,False,False,False,False
2.22,1,Training,1,Shelves,Shelves,,,,,,0.07802507,1.664488,0.4741408,10.25001,1.124968,-1.220091E-07,0.0762,0,0.3812,0,0,0,0.0762,0,0.3812,0,0,0,0,0,0,0,0,0,0,0,0,295.02,351.238,99.42301,0.185,0.051,0.27,295.0201,351.2376,99.42271,False,False,False,False,False,False,False,False
2.26,1,Training,1,Shelves,Shelves,,,,,,0.07554769,1.65355,0.4808592,16.75001,359.625,-1.323474E-07,0.0762,0,0.3812,0,0,0,0.0762,0,0.3812,0,0,0,0,0,0,0,0,0,0,0,0,295.02,351.238,99.42301,0.185,0.051,0.27,295.0201,351.2376,99.42271,False,False,False,False,False,False,False,False
2.28,1,Training,1,Shelves,Shelves,,,,,,0.07224553,1.637766,0.4877744,25.50001,357.875,-1.1824E-07,0.0762,0,0.3812,0,0,0,0.0762,0,0.3812,0,0,0,0,0,0,0,0,0,0,0,0,295.02,351.238,99.42301,0.185,0.051,0.27,295.0201,351.2376,99.42271,False,False,False,False,False,False,False,False
2.32,1,Training,1,Shelves,Shelves,,,,,,0.06939291,1.61916,0.4924949,35.25001,356.5,-2.613673E-07,0.0762,0,0.3812,0,0,0,0.0762,0,0.3812,0,0,0,0,0,0,0,0,0,0,0,0,295.02,351.238,99.42301,0.185,0.051,0.27,295.0201,351.2376,99.42271,False,False,False,False,False,False,False,False
2.34,1,Training,1,Shelves,Shelves,,,,,,0.06955574,1.607892,0.4938657,41.00002,356.625,-2.828153E-07,0.0762,0,0.3812,0,0,0,0.0762,0,0.3812,0,0,0,0,0,0,0,0,0,0,0,0,295.02,351.238,99.42301,0.185,0.051,0.27,295.0201,351.2376,99.42271,False,False,False,False,False,False,False,False
2.38,1,Training,1,Shelves,Shelves,,,,,,0.0712656,1.601728,0.4942162,44.12502,357.5,-2.230114E-07,0.0762,0,0.3812,0,0,0,0.0762,0,0.3812,0,0,0,0,0,0,0,0,0,0,0,0,295.02,351.238,99.42301,0.185,0.051,0.27,295.0201,351.2376,99.42271,False,False,False,False,False,False,False,False
2.4,1,Training,1,Shelves,Shelves,,,,,,0.07323885,1.598025,0.4942811,46.00002,358.5,-1.53632E-07,0.0762,0,0.3812,0,0,0,0.0762,0,0.3812,0,0,0,0,0,0,0,0,0,0,0,0,295.02,351.238,99.42301,0.185,0.051,0.27,295.0201,351.2376,99.42271,False,False,False,False,False,False,False,False
2.44,1,Training,1,Shelves,Shelves,,,,,,0.07521415,1.593832,0.4941645,48.12503,359.5,-1.199107E-07,0.0762,0,0.3812,0,0,0,0.0762,0,0.3812,0,0,0,0,0,0,0,0,0,0,0,0,295.02,351.238,99.42301,0.185,0.051,0.27,295.0201,351.2376,99.42271,False,False,False,False,False,False,False,False
2.46,1,Training,1,Shelves,Shelves,,,,,,0.07792111,1.590139,0.4938934,50.00004,0.8749847,-1.245222E-07,0.0762,0,0.3812,0,0,0,0.0762,0,0.3812,0,0,0,0,0,0,0,0,0,0,0,0,295.02,351.238,99.42301,0.185,0.051,0.27,295.0201,351.2376,99.42271,False,False,False,False,False,False,False,False
2.5,1,Training,1,Shelves,Shelves,,,,,,0.08158905,1.586457,0.4933942,51.87502,2.749985,-3.457252E-07,0.0762,0,0.3812,0,0,0,0.0762,0,0.3812,0,0,0,0,0,0,0,0,0,0,0,0,295.02,351.238,99.42301,0.185,0.051,0.27,295.0201,351.2376,99.42271,False,False,False,False,False,False,False,False
2.52,1,Training,1,Shelves,Shelves,,,,,,0.08668495,1.583521,0.4926384,53.37502,5.374985,-7.155629E-07,0.0762,0,0.3812,0,0,0,0.0762,0,0.3812,0,0,0,0,0,0,0,0,0,0,0,0,295.02,351.238,99.42301,0.185,0.051,0.27,295.0201,351.2376,99.42271,False,False,False,False,False,False,False,False
2.56,1,Training,1,Shelves,Shelves,,,,,,0.09414302,1.58157,0.4913744,54.37503,9.249987,7.328815E-07,0.0762,0,0.3812,0,0,0,0.0762,0,0.3812,0,0,0,0,0,0,0,0,0,0,0,0,295.02,351.238,99.42301,0.185,0.051,0.27,295.0201,351.2376,99.42271,False,False,False,False,False,False,False,False
2.58,1,Training,1,Shelves,Shelves,,,,,,0.1035326,1.58401,0.4898151,53.12504,14.12499,1.422788E-06,0.0762,0,0.3812,0,0,0,0.0762,0,0.3812,0,0,0,0,0,0,0,0,0,0,0,0,295.02,351.238,99.42301,0.185,0.051,0.27,295.0201,351.2376,99.42271,False,False,False,False,False,False,False,False
2.62,1,Training,1,Shelves,Shelves,,,,,,0.1141059,1.592108,0.4875055,49.00003,19.62499,0,0.0762,0,0.3812,0,0,0,0.0762,0,0.3812,0,0,0,0,0,0,0,0,0,0,0,0,295.02,351.238,99.42301,0.185,0.051,0.27,295.0201,351.2376,99.42271,False,False,False,False,False,False,False,False
2.64,1,Training,1,Shelves,Shelves,,,,,,0.1251252,1.601481,0.4832006,44.25003,25.62499,-1.191919E-06,0.0762,0,0.3812,0,0,0,0.0762,0,0.3812,0,0,0,0,0,0,0,0,0,0,0,0,295.02,351.238,99.42301,0.185,0.051,0.27,295.0201,351.2376,99.42271,False,False,False,False,False,False,False,False
