TimeSinceStart,TrialNo,TrialID,ParticipantID,Landmark,DetailedView,Interaction
130.4074,1,Training,0,Shelves,Shelves,Hand Interaction,Vis2 Grabbed
130.4408,1,Training,0,Shelves,Shelves,Hand Interaction,Vis2 Grabbed
130.4852,1,Training,0,Shelves,Shelves,Hand Interaction,Vis2 Grabbed
130.5186,1,Training,0,Shelves,Shelves,Hand Interaction,Vis2 Grabbed
130.5519,1,Training,0,Shelves,Shelves,Hand Interaction,Vis2 Grabbed
130.5963,1,Training,0,Shelves,Shelves,Hand Interaction,Vis2 Grabbed
130.6297,1,Training,0,Shelves,Shelves,Hand Interaction,Vis2 Grabbed
130.663,1,Training,0,Shelves,Shelves,Hand Interaction,Vis2 Grabbed
130.6852,1,Training,0,Shelves,Shelves,Hand Interaction,Vis2 Grabbed
130.7186,1,Training,0,Shelves,Shelves,Hand Interaction,Vis2 Grabbed
130.7519,1,Training,0,Shelves,Shelves,Hand Interaction,Vis2 Grabbed
130.7852,1,Training,0,Shelves,Shelves,Hand Interaction,Vis2 Grabbed
130.8185,1,Training,0,Shelves,Shelves,Hand Interaction,Vis2 Grabbed
130.8519,1,Training,0,Shelves,Shelves,Hand Interaction,Vis2 Grabbed
130.8963,1,Training,0,Shelves,Shelves,Hand Interaction,Vis2 Grabbed
130.9297,1,Training,0,Shelves,Shelves,Hand Interaction,Vis2 Grabbed
131.0296,1,Training,0,Shelves,Shelves,Hand Interaction,Vis2 Grabbed
131.063,1,Training,0,Shelves,Shelves,Hand Interaction,Vis2 Grabbed
131.1074,1,Training,0,Shelves,Shelves,Hand Interaction,Vis2 Grabbed
131.1408,1,Training,0,Shelves,Shelves,Hand Interaction,Vis2 Grabbed
131.1741,1,Training,0,Shelves,Shelves,Hand Interaction,Vis2 Grabbed
131.2074,1,Training,0,Shelves,Shelves,Hand Interaction,Vis2 Grabbed
132.1407,1,Training,0,Shelves,Shelves,Hand Interaction,Vis2 Grabbed
132.1741,1,Training,0,Shelves,Shelves,Hand Interaction,Vis2 Grabbed
132.2074,1,Training,0,Shelves,Shelves,Hand Interaction,Vis2 Grabbed
132.2408,1,Training,0,Shelves,Shelves,Hand Interaction,Vis2 Grabbed
132.2741,1,Training,0,Shelves,Shelves,Hand Interaction,Vis2 Grabbed
132.3074,1,Training,0,Shelves,Shelves,Hand Interaction,Vis2 Grabbed
132.3407,1,Training,0,Shelves,Shelves,Hand Interaction,Vis2 Grabbed
132.3741,1,Training,0,Shelves,Shelves,Hand Interaction,Vis2 Grabbed
132.4074,1,Training,0,Shelves,Shelves,Hand Interaction,Vis2 Grabbed
132.4408,1,Training,0,Shelves,Shelves,Hand Interaction,Vis2 Grabbed
132.463,1,Training,0,Shelves,Shelves,Hand Interaction,Vis2 Grabbed
132.4963,1,Training,0,Shelves,Shelves,Hand Interaction,Vis2 Grabbed
132.5296,1,Training,0,Shelves,Shelves,Hand Interaction,Vis2 Grabbed
132.563,1,Training,0,Shelves,Shelves,Hand Interaction,Vis2 Grabbed
132.5963,1,Training,0,Shelves,Shelves,Hand Interaction,Vis2 Grabbed
132.6296,1,Training,0,Shelves,Shelves,Hand Interaction,Vis2 Grabbed
132.6519,1,Training,0,Shelves,Shelves,Hand Interaction,Vis2 Grabbed
132.6852,1,Training,0,Shelves,Shelves,Hand Interaction,Vis2 Grabbed
132.7185,1,Training,0,Shelves,Shelves,Hand Interaction,Vis2 Grabbed
132.7519,1,Training,0,Shelves,Shelves,Hand Interaction,Vis2 Grabbed
132.7741,1,Training,0,Shelves,Shelves,Hand Interaction,Vis2 Grabbed
132.8074,1,Training,0,Shelves,Shelves,Hand Interaction,Vis2 Grabbed
132.8296,1,Training,0,Shelves,Shelves,Hand Interaction,Vis2 Grabbed
132.863,1,Training,0,Shelves,Shelves,Hand Interaction,Vis2 Grabbed
132.8963,1,Training,0,Shelves,Shelves,Hand Interaction,Vis2 Grabbed
132.9296,1,Training,0,Shelves,Shelves,Hand Interaction,Vis2 Grabbed
132.963,1,Training,0,Shelves,Shelves,Hand Interaction,Vis2 Grabbed
132.9963,1,Training,0,Shelves,Shelves,Hand Interaction,Vis2 Grabbed
133.0185,1,Training,0,Shelves,Shelves,Hand Interaction,Vis2 Grabbed
133.0518,1,Training,0,Shelves,Shelves,Hand Interaction,Vis2 Grabbed
133.0852,1,Training,0,Shelves,Shelves,Hand Interaction,Vis2 Grabbed
133.1074,1,Training,0,Shelves,Shelves,Hand Interaction,Vis2 Grabbed
133.1407,1,Training,0,Shelves,Shelves,Hand Interaction,Vis2 Grabbed
134.2296,1,Training,0,Shelves,Shelves,Hand Interaction,Vis3 Grabbed
134.263,1,Training,0,Shelves,Shelves,Hand Interaction,Vis3 Grabbed
134.2963,1,Training,0,Shelves,Shelves,Hand Interaction,Vis3 Grabbed
134.3296,1,Training,0,Shelves,Shelves,Hand Interaction,Vis3 Grabbed
134.3741,1,Training,0,Shelves,Shelves,Hand Interaction,Vis3 Grabbed
134.4074,1,Training,0,Shelves,Shelves,Hand Interaction,Vis3 Grabbed
134.4407,1,Training,0,Shelves,Shelves,Hand Interaction,Vis3 Grabbed
134.4741,1,Training,0,Shelves,Shelves,Hand Interaction,Vis3 Grabbed
134.5074,1,Training,0,Shelves,Shelves,Hand Interaction,Vis3 Grabbed
134.5407,1,Training,0,Shelves,Shelves,Hand Interaction,Vis3 Grabbed
134.5741,1,Training,0,Shelves,Shelves,Hand Interaction,Vis3 Grabbed
134.6074,1,Training,0,Shelves,Shelves,Hand Interaction,Vis3 Grabbed
134.6407,1,Training,0,Shelves,Shelves,Hand Interaction,Vis3 Grabbed
